               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083649,            0.026001,                   0,             0.40691,             0.47831,             0.42818,              0.1228,            0.053514,            0.015125,                   0,            0.070161,           0.0033154,           0.0033154
                   1,            0.057313,            0.019758,                   0,             0.56204,             0.54447,             0.50571,             0.23755,            0.050361,           0.0096275,                   0,            0.037967,           0.0044547,           0.0044547
                   2,            0.049212,            0.017359,                   0,             0.58346,             0.69697,             0.58697,             0.26107,            0.040603,           0.0080425,                   0,           0.0035731,           0.0033939,           0.0033939
