               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06522,            0.018812,                   0,             0.72428,             0.67706,             0.73465,             0.33765,            0.044208,           0.0081871,                   0,            0.070043,           0.0033285,           0.0033285
                   1,            0.043469,            0.012929,                   0,             0.82912,             0.81247,              0.8467,             0.44234,            0.037824,           0.0065666,                   0,            0.037845,           0.0044634,           0.0044634
                   2,             0.03759,            0.011563,                   0,             0.87257,             0.86758,             0.89619,             0.51813,             0.03224,           0.0061142,                   0,           0.0034465,           0.0033984,           0.0033984
