               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083738,            0.026085,                   0,             0.41341,             0.36308,             0.38169,             0.12962,            0.051592,            0.014004,                   0,            0.070161,           0.0033154,           0.0033154
                   1,            0.056358,             0.01977,                   0,             0.84458,             0.65893,             0.75222,             0.39738,            0.049281,            0.009015,                   0,            0.037967,           0.0044547,           0.0044547
                   2,            0.048226,            0.017082,                   0,             0.85519,              0.7161,             0.77729,             0.40205,            0.040113,           0.0085615,                   0,           0.0035731,           0.0033939,           0.0033939
